date from;date to;Euro per Mwh;Euro per Kwh;Euro per kWh incl. Taxes
02.05.2023 07:00;02.05.2023 08:00;127.45;0.12745;0.1516655
02.05.2023 08:00;02.05.2023 09:00;135.17;0.13517;0.1608523
02.05.2023 09:00;02.05.2023 10:00;122.99;0.12299;0.1463581
02.05.2023 10:00;02.05.2023 11:00;115.69;0.11569;0.1376711
02.05.2023 11:00;02.05.2023 12:00;108.96;0.10896;0.1296624
02.05.2023 12:00;02.05.2023 13:00;98.46;0.09846;0.1171674
02.05.2023 13:00;02.05.2023 14:00;92.76;0.09276;0.1103844
02.05.2023 14:00;02.05.2023 15:00;86.32;0.08632;0.1027208
02.05.2023 15:00;02.05.2023 16:00;81.97;0.08197;0.0975443
02.05.2023 16:00;02.05.2023 17:00;87.2;0.0872;0.103768
02.05.2023 17:00;02.05.2023 18:00;94.43;0.09443;0.1123717
02.05.2023 18:00;02.05.2023 19:00;117.38;0.11738;0.1396822
02.05.2023 19:00;02.05.2023 20:00;130;0.13;0.1547
02.05.2023 20:00;02.05.2023 21:00;142.86;0.14286;0.1700034
02.05.2023 21:00;02.05.2023 22:00;133.69;0.13369;0.1590911
02.05.2023 22:00;02.05.2023 23:00;124.02;0.12402;0.1475838
02.05.2023 23:00;03.05.2023 00:00;116.13;0.11613;0.1381947
03.05.2023 00:00;03.05.2023 01:00;107.65;0.10765;0.1281035
03.05.2023 01:00;03.05.2023 02:00;102.63;0.10263;0.1221297
03.05.2023 02:00;03.05.2023 03:00;100.97;0.10097;0.1201543
03.05.2023 03:00;03.05.2023 04:00;97.8;0.0978;0.116382
03.05.2023 04:00;03.05.2023 05:00;105.25;0.10525;0.1252475
03.05.2023 05:00;03.05.2023 06:00;111.92;0.11192;0.1331848
03.05.2023 06:00;03.05.2023 07:00;125.52;0.12552;0.1493688
03.05.2023 07:00;03.05.2023 08:00;133.3;0.1333;0.158627
03.05.2023 08:00;03.05.2023 09:00;125.1;0.1251;0.148869
03.05.2023 09:00;03.05.2023 10:00;110.1;0.1101;0.131019
03.05.2023 10:00;03.05.2023 11:00;91.16;0.09116;0.1084804
03.05.2023 11:00;03.05.2023 12:00;84.16;0.08416;0.1001504
03.05.2023 12:00;03.05.2023 13:00;77.83;0.07783;0.0926177
03.05.2023 13:00;03.05.2023 14:00;80.02;0.08002;0.0952238
03.05.2023 14:00;03.05.2023 15:00;75.13;0.07513;0.0894047
03.05.2023 15:00;03.05.2023 16:00;73.5;0.0735;0.087465
03.05.2023 16:00;03.05.2023 17:00;83.86;0.08386;0.0997934
03.05.2023 17:00;03.05.2023 18:00;97.59;0.09759;0.1161321
03.05.2023 18:00;03.05.2023 19:00;124.09;0.12409;0.1476671
03.05.2023 19:00;03.05.2023 20:00;140.08;0.14008;0.1666952
03.05.2023 20:00;03.05.2023 21:00;171.58;0.17158;0.2041802
03.05.2023 21:00;03.05.2023 22:00;132.25;0.13225;0.1573775
03.05.2023 22:00;03.05.2023 23:00;120.95;0.12095;0.1439305
03.05.2023 23:00;04.05.2023 00:00;114.73;0.11473;0.1365287
04.05.2023 00:00;04.05.2023 01:00;100.13;0.10013;0.1191547
04.05.2023 01:00;04.05.2023 02:00;95.24;0.09524;0.1133356
04.05.2023 02:00;04.05.2023 03:00;94.16;0.09416;0.1120504
04.05.2023 03:00;04.05.2023 04:00;95.26;0.09526;0.1133594
04.05.2023 04:00;04.05.2023 05:00;95.91;0.09591;0.1141329
04.05.2023 05:00;04.05.2023 06:00;106.94;0.10694;0.1272586
04.05.2023 06:00;04.05.2023 07:00;125;0.125;0.14875
04.05.2023 07:00;04.05.2023 08:00;130;0.13;0.1547
04.05.2023 08:00;04.05.2023 09:00;119.9;0.1199;0.142681
04.05.2023 09:00;04.05.2023 10:00;104.42;0.10442;0.1242598
04.05.2023 10:00;04.05.2023 11:00;90;0.09;0.1071
04.05.2023 11:00;04.05.2023 12:00;79.6;0.0796;0.094724
04.05.2023 12:00;04.05.2023 13:00;70.06;0.07006;0.0833714
04.05.2023 13:00;04.05.2023 14:00;60.21;0.06021;0.0716499
04.05.2023 14:00;04.05.2023 15:00;56.69;0.05669;0.0674611
04.05.2023 15:00;04.05.2023 16:00;65.28;0.06528;0.0776832
04.05.2023 16:00;04.05.2023 17:00;78.88;0.07888;0.0938672
04.05.2023 17:00;04.05.2023 18:00;99.6;0.0996;0.118524
04.05.2023 18:00;04.05.2023 19:00;115.57;0.11557;0.1375283
04.05.2023 19:00;04.05.2023 20:00;122.01;0.12201;0.1451919
04.05.2023 20:00;04.05.2023 21:00;120.74;0.12074;0.1436806
04.05.2023 21:00;04.05.2023 22:00;114.77;0.11477;0.1365763
04.05.2023 22:00;04.05.2023 23:00;105.5;0.1055;0.125545
04.05.2023 23:00;05.05.2023 00:00;94.12;0.09412;0.1120028
05.05.2023 00:00;05.05.2023 01:00;91.5;0.0915;0.108885
05.05.2023 01:00;05.05.2023 02:00;81.8;0.0818;0.097342
05.05.2023 02:00;05.05.2023 03:00;78.49;0.07849;0.0934031
05.05.2023 03:00;05.05.2023 04:00;79.51;0.07951;0.0946169
05.05.2023 04:00;05.05.2023 05:00;78.49;0.07849;0.0934031
05.05.2023 05:00;05.05.2023 06:00;87.52;0.08752;0.1041488
05.05.2023 06:00;05.05.2023 07:00;101.22;0.10122;0.1204518
05.05.2023 07:00;05.05.2023 08:00;113.75;0.11375;0.1353625
05.05.2023 08:00;05.05.2023 09:00;110.7;0.1107;0.131733
05.05.2023 09:00;05.05.2023 10:00;97.28;0.09728;0.1157632
05.05.2023 10:00;05.05.2023 11:00;90.12;0.09012;0.1072428
05.05.2023 11:00;05.05.2023 12:00;80.94;0.08094;0.0963186
05.05.2023 12:00;05.05.2023 13:00;78.44;0.07844;0.0933436
05.05.2023 13:00;05.05.2023 14:00;77.01;0.07701;0.0916419
05.05.2023 14:00;05.05.2023 15:00;78.9;0.0789;0.093891
05.05.2023 15:00;05.05.2023 16:00;81.08;0.08108;0.0964852
05.05.2023 16:00;05.05.2023 17:00;91.16;0.09116;0.1084804
05.05.2023 17:00;05.05.2023 18:00;100.17;0.10017;0.1192023
05.05.2023 18:00;05.05.2023 19:00;112.8;0.1128;0.134232
05.05.2023 19:00;05.05.2023 20:00;120.54;0.12054;0.1434426
05.05.2023 20:00;05.05.2023 21:00;128.57;0.12857;0.1529983
05.05.2023 21:00;05.05.2023 22:00;126.31;0.12631;0.1503089
05.05.2023 22:00;05.05.2023 23:00;115.56;0.11556;0.1375164
05.05.2023 23:00;06.05.2023 00:00;103.34;0.10334;0.1229746
06.05.2023 00:00;06.05.2023 01:00;106.71;0.10671;0.1269849
06.05.2023 01:00;06.05.2023 02:00;99.62;0.09962;0.1185478
06.05.2023 02:00;06.05.2023 03:00;95.71;0.09571;0.1138949
06.05.2023 03:00;06.05.2023 04:00;91.7;0.0917;0.109123
06.05.2023 04:00;06.05.2023 05:00;89.93;0.08993;0.1070167
06.05.2023 05:00;06.05.2023 06:00;91.7;0.0917;0.109123
06.05.2023 06:00;06.05.2023 07:00;97.2;0.0972;0.115668
06.05.2023 07:00;06.05.2023 08:00;99.02;0.09902;0.1178338
06.05.2023 08:00;06.05.2023 09:00;95.13;0.09513;0.1132047
06.05.2023 09:00;06.05.2023 10:00;93.28;0.09328;0.1110032
06.05.2023 10:00;06.05.2023 11:00;82.53;0.08253;0.0982107
06.05.2023 11:00;06.05.2023 12:00;74.42;0.07442;0.0885598
06.05.2023 12:00;06.05.2023 13:00;71.02;0.07102;0.0845138
06.05.2023 13:00;06.05.2023 14:00;55.75;0.05575;0.0663425
06.05.2023 14:00;06.05.2023 15:00;50;0.05;0.0595
06.05.2023 15:00;06.05.2023 16:00;63.16;0.06316;0.0751604
06.05.2023 16:00;06.05.2023 17:00;74.64;0.07464;0.0888216
06.05.2023 17:00;06.05.2023 18:00;90.3;0.0903;0.107457
06.05.2023 18:00;06.05.2023 19:00;102.7;0.1027;0.122213
06.05.2023 19:00;06.05.2023 20:00;108.05;0.10805;0.1285795
06.05.2023 20:00;06.05.2023 21:00;111.81;0.11181;0.1330539
06.05.2023 21:00;06.05.2023 22:00;108.71;0.10871;0.1293649
06.05.2023 22:00;06.05.2023 23:00;103.12;0.10312;0.1227128
06.05.2023 23:00;07.05.2023 00:00;92.38;0.09238;0.1099322
07.05.2023 00:00;07.05.2023 01:00;92.65;0.09265;0.1102535
07.05.2023 01:00;07.05.2023 02:00;86.17;0.08617;0.1025423
07.05.2023 02:00;07.05.2023 03:00;82.66;0.08266;0.0983654
07.05.2023 03:00;07.05.2023 04:00;83.51;0.08351;0.0993769
07.05.2023 04:00;07.05.2023 05:00;82.94;0.08294;0.0986986
07.05.2023 05:00;07.05.2023 06:00;84.07;0.08407;0.1000433
07.05.2023 06:00;07.05.2023 07:00;83.14;0.08314;0.0989366
07.05.2023 07:00;07.05.2023 08:00;81.87;0.08187;0.0974253
07.05.2023 08:00;07.05.2023 09:00;75.87;0.07587;0.0902853
07.05.2023 09:00;07.05.2023 10:00;67.6;0.0676;0.080444
07.05.2023 10:00;07.05.2023 11:00;33.9;0.0339;0.040341
07.05.2023 11:00;07.05.2023 12:00;5.09;0.00509;0.0060571
07.05.2023 12:00;07.05.2023 13:00;-0.04;-0.00004;-0.0000476
07.05.2023 13:00;07.05.2023 14:00;-0.99;-0.00099;-0.0011781
07.05.2023 14:00;07.05.2023 15:00;-0.03;-0.00003;-0.0000357
07.05.2023 15:00;07.05.2023 16:00;15.44;0.01544;0.0183736
07.05.2023 16:00;07.05.2023 17:00;56.62;0.05662;0.0673778
07.05.2023 17:00;07.05.2023 18:00;75.97;0.07597;0.0904043
07.05.2023 18:00;07.05.2023 19:00;94.94;0.09494;0.1129786
07.05.2023 19:00;07.05.2023 20:00;99.36;0.09936;0.1182384
07.05.2023 20:00;07.05.2023 21:00;106.45;0.10645;0.1266755
07.05.2023 21:00;07.05.2023 22:00;105.02;0.10502;0.1249738
07.05.2023 22:00;07.05.2023 23:00;99.3;0.0993;0.118167
07.05.2023 23:00;08.05.2023 00:00;96.07;0.09607;0.1143233
08.05.2023 00:00;08.05.2023 01:00;85.92;0.08592;0.1022448
08.05.2023 01:00;08.05.2023 02:00;83.93;0.08393;0.0998767
08.05.2023 02:00;08.05.2023 03:00;83.78;0.08378;0.0996982
08.05.2023 03:00;08.05.2023 04:00;83.13;0.08313;0.0989247
08.05.2023 04:00;08.05.2023 05:00;84.09;0.08409;0.1000671
08.05.2023 05:00;08.05.2023 06:00;90.91;0.09091;0.1081829
08.05.2023 06:00;08.05.2023 07:00;104.12;0.10412;0.1239028
08.05.2023 07:00;08.05.2023 08:00;119.45;0.11945;0.1421455
08.05.2023 08:00;08.05.2023 09:00;110.97;0.11097;0.1320543
08.05.2023 09:00;08.05.2023 10:00;100.01;0.10001;0.1190119
08.05.2023 10:00;08.05.2023 11:00;91.83;0.09183;0.1092777
08.05.2023 11:00;08.05.2023 12:00;81.64;0.08164;0.0971516
08.05.2023 12:00;08.05.2023 13:00;80.41;0.08041;0.0956879
08.05.2023 13:00;08.05.2023 14:00;74.32;0.07432;0.0884408
08.05.2023 14:00;08.05.2023 15:00;74.09;0.07409;0.0881671
08.05.2023 15:00;08.05.2023 16:00;78;0.078;0.09282
08.05.2023 16:00;08.05.2023 17:00;84.01;0.08401;0.0999719
08.05.2023 17:00;08.05.2023 18:00;97.05;0.09705;0.1154895
08.05.2023 18:00;08.05.2023 19:00;110.04;0.11004;0.1309476
08.05.2023 19:00;08.05.2023 20:00;132.9;0.1329;0.158151
08.05.2023 20:00;08.05.2023 21:00;128.41;0.12841;0.1528079
08.05.2023 21:00;08.05.2023 22:00;121.99;0.12199;0.1451681
08.05.2023 22:00;08.05.2023 23:00;112.56;0.11256;0.1339464
08.05.2023 23:00;09.05.2023 00:00;99.38;0.09938;0.1182622
09.05.2023 00:00;09.05.2023 01:00;95.96;0.09596;0.1141924
09.05.2023 01:00;09.05.2023 02:00;87.52;0.08752;0.1041488
09.05.2023 02:00;09.05.2023 03:00;84.6;0.0846;0.100674
09.05.2023 03:00;09.05.2023 04:00;84.17;0.08417;0.1001623
09.05.2023 04:00;09.05.2023 05:00;85.25;0.08525;0.1014475
09.05.2023 05:00;09.05.2023 06:00;92.45;0.09245;0.1100155
09.05.2023 06:00;09.05.2023 07:00;111.58;0.11158;0.1327802
09.05.2023 07:00;09.05.2023 08:00;121;0.121;0.14399
09.05.2023 08:00;09.05.2023 09:00;117.88;0.11788;0.1402772
09.05.2023 09:00;09.05.2023 10:00;104.96;0.10496;0.1249024
09.05.2023 10:00;09.05.2023 11:00;88.84;0.08884;0.1057196
09.05.2023 11:00;09.05.2023 12:00;70.95;0.07095;0.0844305
09.05.2023 12:00;09.05.2023 13:00;65.76;0.06576;0.0782544
09.05.2023 13:00;09.05.2023 14:00;61.91;0.06191;0.0736729
09.05.2023 14:00;09.05.2023 15:00;68.29;0.06829;0.0812651
09.05.2023 15:00;09.05.2023 16:00;80.8;0.0808;0.096152
09.05.2023 16:00;09.05.2023 17:00;84.44;0.08444;0.1004836
09.05.2023 17:00;09.05.2023 18:00;100.06;0.10006;0.1190714
09.05.2023 18:00;09.05.2023 19:00;116.34;0.11634;0.1384446
09.05.2023 19:00;09.05.2023 20:00;121.93;0.12193;0.1450967
09.05.2023 20:00;09.05.2023 21:00;121.05;0.12105;0.1440495
09.05.2023 21:00;09.05.2023 22:00;110.97;0.11097;0.1320543
09.05.2023 22:00;09.05.2023 23:00;104.67;0.10467;0.1245573
09.05.2023 23:00;10.05.2023 00:00;89.93;0.08993;0.1070167
10.05.2023 00:00;10.05.2023 01:00;94.79;0.09479;0.1128001
10.05.2023 01:00;10.05.2023 02:00;90.05;0.09005;0.1071595
10.05.2023 02:00;10.05.2023 03:00;88.38;0.08838;0.1051722
10.05.2023 03:00;10.05.2023 04:00;86.19;0.08619;0.1025661
10.05.2023 04:00;10.05.2023 05:00;88.39;0.08839;0.1051841
10.05.2023 05:00;10.05.2023 06:00;90.18;0.09018;0.1073142
10.05.2023 06:00;10.05.2023 07:00;107.57;0.10757;0.1280083
10.05.2023 07:00;10.05.2023 08:00;120.6;0.1206;0.143514
10.05.2023 08:00;10.05.2023 09:00;133;0.133;0.15827
10.05.2023 09:00;10.05.2023 10:00;110.22;0.11022;0.1311618
10.05.2023 10:00;10.05.2023 11:00;105.89;0.10589;0.1260091
10.05.2023 11:00;10.05.2023 12:00;100.94;0.10094;0.1201186
10.05.2023 12:00;10.05.2023 13:00;96.83;0.09683;0.1152277
10.05.2023 13:00;10.05.2023 14:00;92.91;0.09291;0.1105629
10.05.2023 14:00;10.05.2023 15:00;91.72;0.09172;0.1091468
10.05.2023 15:00;10.05.2023 16:00;96.3;0.0963;0.114597
10.05.2023 16:00;10.05.2023 17:00;107.92;0.10792;0.1284248
10.05.2023 17:00;10.05.2023 18:00;117.48;0.11748;0.1398012
10.05.2023 18:00;10.05.2023 19:00;120.39;0.12039;0.1432641
10.05.2023 19:00;10.05.2023 20:00;140.38;0.14038;0.1670522
10.05.2023 20:00;10.05.2023 21:00;147.49;0.14749;0.1755131
10.05.2023 21:00;10.05.2023 22:00;134.4;0.1344;0.159936
10.05.2023 22:00;10.05.2023 23:00;117.59;0.11759;0.1399321
10.05.2023 23:00;11.05.2023 00:00;109.84;0.10984;0.1307096
11.05.2023 00:00;11.05.2023 01:00;100;0.1;0.119
11.05.2023 01:00;11.05.2023 02:00;96.94;0.09694;0.1153586
11.05.2023 02:00;11.05.2023 03:00;96;0.096;0.11424
11.05.2023 03:00;11.05.2023 04:00;97.28;0.09728;0.1157632
11.05.2023 04:00;11.05.2023 05:00;97.9;0.0979;0.116501
11.05.2023 05:00;11.05.2023 06:00;104.23;0.10423;0.1240337
11.05.2023 06:00;11.05.2023 07:00;121.11;0.12111;0.1441209
11.05.2023 07:00;11.05.2023 08:00;148.33;0.14833;0.1765127
11.05.2023 08:00;11.05.2023 09:00;167.78;0.16778;0.1996582
11.05.2023 09:00;11.05.2023 10:00;135.47;0.13547;0.1612093
11.05.2023 10:00;11.05.2023 11:00;126.71;0.12671;0.1507849
11.05.2023 11:00;11.05.2023 12:00;115.79;0.11579;0.1377901
11.05.2023 12:00;11.05.2023 13:00;104.53;0.10453;0.1243907
11.05.2023 13:00;11.05.2023 14:00;100.01;0.10001;0.1190119
11.05.2023 14:00;11.05.2023 15:00;99.37;0.09937;0.1182503
11.05.2023 15:00;11.05.2023 16:00;109.51;0.10951;0.1303169
11.05.2023 16:00;11.05.2023 17:00;113.54;0.11354;0.1351126
11.05.2023 17:00;11.05.2023 18:00;115.27;0.11527;0.1371713
11.05.2023 18:00;11.05.2023 19:00;123.63;0.12363;0.1471197
11.05.2023 19:00;11.05.2023 20:00;147;0.147;0.17493
11.05.2023 20:00;11.05.2023 21:00;132.8;0.1328;0.158032
11.05.2023 21:00;11.05.2023 22:00;118.4;0.1184;0.140896
11.05.2023 22:00;11.05.2023 23:00;113.99;0.11399;0.1356481
11.05.2023 23:00;12.05.2023 00:00;101.66;0.10166;0.1209754
12.05.2023 00:00;12.05.2023 01:00;98.53;0.09853;0.1172507
12.05.2023 01:00;12.05.2023 02:00;90.55;0.09055;0.1077545
12.05.2023 02:00;12.05.2023 03:00;89.84;0.08984;0.1069096
12.05.2023 03:00;12.05.2023 04:00;90;0.09;0.1071
12.05.2023 04:00;12.05.2023 05:00;90.84;0.09084;0.1080996
12.05.2023 05:00;12.05.2023 06:00;98.99;0.09899;0.1177981
12.05.2023 06:00;12.05.2023 07:00;116.99;0.11699;0.1392181
12.05.2023 07:00;12.05.2023 08:00;130;0.13;0.1547
12.05.2023 08:00;12.05.2023 09:00;137.98;0.13798;0.1641962
12.05.2023 09:00;12.05.2023 10:00;113.3;0.1133;0.134827
12.05.2023 10:00;12.05.2023 11:00;101.6;0.1016;0.120904
12.05.2023 11:00;12.05.2023 12:00;97.48;0.09748;0.1160012
12.05.2023 12:00;12.05.2023 13:00;83.42;0.08342;0.0992698
12.05.2023 13:00;12.05.2023 14:00;76.67;0.07667;0.0912373
12.05.2023 14:00;12.05.2023 15:00;72.95;0.07295;0.0868105
12.05.2023 15:00;12.05.2023 16:00;75.89;0.07589;0.0903091
12.05.2023 16:00;12.05.2023 17:00;80.94;0.08094;0.0963186
12.05.2023 17:00;12.05.2023 18:00;94.01;0.09401;0.1118719
12.05.2023 18:00;12.05.2023 19:00;107.98;0.10798;0.1284962
12.05.2023 19:00;12.05.2023 20:00;122.22;0.12222;0.1454418
12.05.2023 20:00;12.05.2023 21:00;124.98;0.12498;0.1487262
12.05.2023 21:00;12.05.2023 22:00;117.99;0.11799;0.1404081
12.05.2023 22:00;12.05.2023 23:00;101.18;0.10118;0.1204042
12.05.2023 23:00;13.05.2023 00:00;97.82;0.09782;0.1164058
13.05.2023 00:00;13.05.2023 01:00;104.91;0.10491;0.1248429
13.05.2023 01:00;13.05.2023 02:00;99.98;0.09998;0.1189762
13.05.2023 02:00;13.05.2023 03:00;95.85;0.09585;0.1140615
13.05.2023 03:00;13.05.2023 04:00;98.55;0.09855;0.1172745
13.05.2023 04:00;13.05.2023 05:00;99.49;0.09949;0.1183931
13.05.2023 05:00;13.05.2023 06:00;100.18;0.10018;0.1192142
13.05.2023 06:00;13.05.2023 07:00;96.96;0.09696;0.1153824
13.05.2023 07:00;13.05.2023 08:00;94.72;0.09472;0.1127168
13.05.2023 08:00;13.05.2023 09:00;94.47;0.09447;0.1124193
13.05.2023 09:00;13.05.2023 10:00;89.08;0.08908;0.1060052
13.05.2023 10:00;13.05.2023 11:00;73.1;0.0731;0.086989
13.05.2023 11:00;13.05.2023 12:00;30.12;0.03012;0.0358428
13.05.2023 12:00;13.05.2023 13:00;15.53;0.01553;0.0184807
13.05.2023 13:00;13.05.2023 14:00;5.55;0.00555;0.0066045
13.05.2023 14:00;13.05.2023 15:00;5.06;0.00506;0.0060214
13.05.2023 15:00;13.05.2023 16:00;6.17;0.00617;0.0073423
13.05.2023 16:00;13.05.2023 17:00;27.72;0.02772;0.0329868
13.05.2023 17:00;13.05.2023 18:00;77.26;0.07726;0.0919394
13.05.2023 18:00;13.05.2023 19:00;105.98;0.10598;0.1261162
13.05.2023 19:00;13.05.2023 20:00;111.12;0.11112;0.1322328
13.05.2023 20:00;13.05.2023 21:00;119.32;0.11932;0.1419908
13.05.2023 21:00;13.05.2023 22:00;114.43;0.11443;0.1361717
13.05.2023 22:00;13.05.2023 23:00;109.96;0.10996;0.1308524
13.05.2023 23:00;14.05.2023 00:00;104.97;0.10497;0.1249143
14.05.2023 00:00;14.05.2023 01:00;102.37;0.10237;0.1218203
14.05.2023 01:00;14.05.2023 02:00;98.18;0.09818;0.1168342
14.05.2023 02:00;14.05.2023 03:00;94.3;0.0943;0.112217
14.05.2023 03:00;14.05.2023 04:00;85.95;0.08595;0.1022805
14.05.2023 04:00;14.05.2023 05:00;87.29;0.08729;0.1038751
14.05.2023 05:00;14.05.2023 06:00;95.08;0.09508;0.1131452
14.05.2023 06:00;14.05.2023 07:00;81.33;0.08133;0.0967827
14.05.2023 07:00;14.05.2023 08:00;73.87;0.07387;0.0879053
14.05.2023 08:00;14.05.2023 09:00;75.69;0.07569;0.0900711
14.05.2023 09:00;14.05.2023 10:00;54.9;0.0549;0.065331
14.05.2023 10:00;14.05.2023 11:00;25.09;0.02509;0.0298571
14.05.2023 11:00;14.05.2023 12:00;13.89;0.01389;0.0165291
14.05.2023 12:00;14.05.2023 13:00;9.73;0.00973;0.0115787
14.05.2023 13:00;14.05.2023 14:00;1.85;0.00185;0.0022015
14.05.2023 14:00;14.05.2023 15:00;0.16;0.00016;0.0001904
14.05.2023 15:00;14.05.2023 16:00;1.78;0.00178;0.0021182
14.05.2023 16:00;14.05.2023 17:00;32.29;0.03229;0.0384251
14.05.2023 17:00;14.05.2023 18:00;90.5;0.0905;0.107695
14.05.2023 18:00;14.05.2023 19:00;105.63;0.10563;0.1256997
14.05.2023 19:00;14.05.2023 20:00;116;0.116;0.13804
14.05.2023 20:00;14.05.2023 21:00;127.13;0.12713;0.1512847
14.05.2023 21:00;14.05.2023 22:00;127.99;0.12799;0.1523081
14.05.2023 22:00;14.05.2023 23:00;119.14;0.11914;0.1417766
14.05.2023 23:00;15.05.2023 00:00;107.92;0.10792;0.1284248
15.05.2023 00:00;15.05.2023 01:00;119.04;0.11904;0.1416576
15.05.2023 01:00;15.05.2023 02:00;107.61;0.10761;0.1280559
15.05.2023 02:00;15.05.2023 03:00;103.54;0.10354;0.1232126
15.05.2023 03:00;15.05.2023 04:00;108.87;0.10887;0.1295553
15.05.2023 04:00;15.05.2023 05:00;108.03;0.10803;0.1285557
15.05.2023 05:00;15.05.2023 06:00;126.15;0.12615;0.1501185
15.05.2023 06:00;15.05.2023 07:00;151.03;0.15103;0.1797257
15.05.2023 07:00;15.05.2023 08:00;168.79;0.16879;0.2008601
15.05.2023 08:00;15.05.2023 09:00;149.12;0.14912;0.1774528
15.05.2023 09:00;15.05.2023 10:00;124.81;0.12481;0.1485239
15.05.2023 10:00;15.05.2023 11:00;105.58;0.10558;0.1256402
15.05.2023 11:00;15.05.2023 12:00;99.62;0.09962;0.1185478
15.05.2023 12:00;15.05.2023 13:00;94.75;0.09475;0.1127525
15.05.2023 13:00;15.05.2023 14:00;90.77;0.09077;0.1080163
15.05.2023 14:00;15.05.2023 15:00;89.42;0.08942;0.1064098
15.05.2023 15:00;15.05.2023 16:00;90.54;0.09054;0.1077426
15.05.2023 16:00;15.05.2023 17:00;91.39;0.09139;0.1087541
15.05.2023 17:00;15.05.2023 18:00;100.05;0.10005;0.1190595
15.05.2023 18:00;15.05.2023 19:00;117.84;0.11784;0.1402296
15.05.2023 19:00;15.05.2023 20:00;124.98;0.12498;0.1487262
15.05.2023 20:00;15.05.2023 21:00;131.79;0.13179;0.1568301
15.05.2023 21:00;15.05.2023 22:00;124.07;0.12407;0.1476433
15.05.2023 22:00;15.05.2023 23:00;110.59;0.11059;0.1316021
15.05.2023 23:00;16.05.2023 00:00;93.79;0.09379;0.1116101
16.05.2023 00:00;16.05.2023 01:00;78.96;0.07896;0.0939624
16.05.2023 01:00;16.05.2023 02:00;73.1;0.0731;0.086989
16.05.2023 02:00;16.05.2023 03:00;70.01;0.07001;0.0833119
16.05.2023 03:00;16.05.2023 04:00;63.56;0.06356;0.0756364
16.05.2023 04:00;16.05.2023 05:00;65.9;0.0659;0.078421
16.05.2023 05:00;16.05.2023 06:00;74.39;0.07439;0.0885241
16.05.2023 06:00;16.05.2023 07:00;99.77;0.09977;0.1187263
16.05.2023 07:00;16.05.2023 08:00;114.99;0.11499;0.1368381
16.05.2023 08:00;16.05.2023 09:00;119.54;0.11954;0.1422526
16.05.2023 09:00;16.05.2023 10:00;102.83;0.10283;0.1223677
16.05.2023 10:00;16.05.2023 11:00;82.77;0.08277;0.0984963
16.05.2023 11:00;16.05.2023 12:00;76;0.076;0.09044
16.05.2023 12:00;16.05.2023 13:00;66.84;0.06684;0.0795396
16.05.2023 13:00;16.05.2023 14:00;52.09;0.05209;0.0619871
16.05.2023 14:00;16.05.2023 15:00;21.25;0.02125;0.0252875
16.05.2023 15:00;16.05.2023 16:00;12.59;0.01259;0.0149821
16.05.2023 16:00;16.05.2023 17:00;43.23;0.04323;0.0514437
16.05.2023 17:00;16.05.2023 18:00;74;0.074;0.08806
16.05.2023 18:00;16.05.2023 19:00;87.44;0.08744;0.1040536
